Id,Data,Ano,TipoOcorre,LocalLogra,CruzLograd,Cruzamento,Bairro,Latitude,Longitude,dist_m,VitimaGrav,Ferido,Morte,Fatais,Motociclet,primary
672579,20200515,2020,BOLETIM,ESTR DAS TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13367,-51.17571,7.3,0,0,0,0,0,True
674832,20200826,2020,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.135313,-51.175144,185.1,0,1,0,0,0,False
678049,20201214,2020,BOLETIM,ESTR COSTA GAMA,ESTR TRES MENINAS,Sim,,-30.13330188,-51.175785,47.8,0,0,0,0,0,True
680035,20210309,2021,BOLETIM,ESTR TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13351478,-51.175767,24.1,0,0,0,0,0,True
684398,20210703,2021,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.13319923,-51.175727,59.0,0,0,0,0,0,True
684712,20210706,2021,BOLETIM,ESTR TRES MENINAS,ESTR COSTA GAMA,Sim,VILA NOVA,-30.13351478,-51.175767,24.1,0,0,0,0,0,True
685488,20210809,2021,BOLETIM,ESTR COSTA GAMA,,Nao,RESTINGA,-30.13405308,-51.175552,40.2,0,1,0,0,0,True
689346,20211118,2021,BOLETIM,ESTR TRES MENINAS,ESTR COSTA GAMA,Sim,VILA NOVA,-30.13351478,-51.175767,24.1,0,0,0,0,1,True
691142,20220108,2022,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.13439188,-51.175462,78.3,1,1,0,0,1,True
691558,20220119,2022,BOLETIM,ESTR TRES MENINAS,ESTR COSTA GAMA,Sim,VILA NOVA,-30.13351478,-51.175767,24.1,0,0,0,0,0,True
692279,20220210,2022,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.135313,-51.175144,185.1,0,0,0,0,0,False
692831,20220224,2022,ATENDIMENTO,ESTR TRES MENINAS,ESTR COSTA GAMA,Sim,,-30.13351478,-51.175767,24.1,0,0,0,0,1,True
694672,20220418,2022,BOLETIM,ESTR TRES MENINAS,ESTR COSTA GAMA,Sim,BELEM VELHO,-30.13351478,-51.175767,24.1,0,0,0,0,0,True
696001,20220527,2022,BOLETIM,ESTR TRES MENINAS,ESTR COSTA GAMA,Sim,BELEM VELHO,-30.13351478,-51.175767,24.1,0,0,0,0,0,True
696645,20220613,2022,BOLETIM,ESTR TRES MENINAS,ESTR COSTA GAMA,Sim,VILA NOVA,-30.13351478,-51.175767,24.1,0,1,0,0,1,True
697560,20220701,2022,BOLETIM,ESTR COSTA GAMA,ESTR TRES MENINAS,Sim,BELEM VELHO,-30.13330188,-51.175785,47.8,0,0,0,0,0,True
700165,20220912,2022,ATENDIMENTO,ESTR COSTA GAMA,ESTR TRES MENINAS,Sim,,-30.13330188,-51.175785,47.8,0,1,0,0,0,True
700575,20220914,2022,BOLETIM,ESTR COSTA GAMA,ESTR TRES MENINAS,Sim,BELEM VELHO,-30.13330188,-51.175785,47.8,0,0,0,0,0,True
702584,20221107,2022,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.13505801,-51.175374,151.8,0,0,0,0,0,False
715537,20230119,2023,BOLETIM,ESTR TRES MENINAS,ESTR COSTA GAMA,Sim,VILA NOVA,-30.13351478,-51.175767,24.1,0,0,0,0,0,True
715884,20230123,2023,BOLETIM,ESTR TRES MENINAS,ESTR COSTA GAMA,Sim,BELEM VELHO,-30.13351478,-51.175767,24.1,0,0,0,0,0,True
716549,20230210,2023,BOLETIM,ESTR COSTA GAMA,ESTR TRES MENINAS,Sim,,-30.13330188,-51.175785,47.8,0,0,0,0,0,True
730534,20230521,2023,BOLETIM,ESTR COSTA GAMA,,Nao,RESTINGA,-30.13505801,-51.175374,151.8,1,4,0,0,0,False
731255,20230602,2023,BOLETIM,ESTR COSTA GAMA,,Nao,BELEM VELHO,-30.13319923,-51.175727,59.0,0,0,0,0,1,True
734546,20230821,2023,ATENDIMENTO,ESTR COSTA GAMA,ESTR TRES MENINAS,Sim,,-30.13330188,-51.175785,47.8,0,1,0,0,1,True
737433,20231028,2023,BOLETIM,ESTR COSTA GAMA,ESTR TRES MENINAS,Sim,BELEM VELHO,-30.13330188,-51.175785,47.8,0,0,0,0,0,True
742320,20240221,2024,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.13505801,-51.175374,151.8,0,0,0,0,1,False
743393,20240325,2024,BOLETIM,ESTR COSTA GAMA,ESTR TRES MENINAS,Sim,BELEM VELHO,-30.13330188,-51.175785,47.8,1,1,0,0,1,True
745053,20240326,2024,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.1352009,-51.175271,169.7,0,0,0,0,0,False
745958,20240601,2024,BOLETIM,ESTR COSTA GAMA,,Nao,,-30.13439188,-51.175462,78.3,0,0,0,0,0,True
748528,20240729,2024,BOLETIM,ESTR COSTA GAMA,,Nao,HIPICA,-30.135313,-51.175144,185.1,0,0,0,0,0,False
748327,20240809,2024,BOLETIM,ESTR COSTA GAMA,ESTR TRES MENINAS,Sim,BELEM VELHO,-30.13330188,-51.175785,47.8,0,0,0,0,0,True
748759,20240815,2024,BOLETIM,ESTR TRES MENINAS,,Nao,VILA NOVA,-30.13349051,-51.175841,28.3,0,1,0,0,0,True
