ponto,rotulo_ponto,tipo_referencia,dist_m,limiar_principal_m,associacao_principal,idacidente,data,hora,dia_sem,latitude,longitude,log1,log2,tipo_acid,feridos,feridos_gr,fatais,moto,bicicleta,onibus
P4,Corredor Av. Vicente Monteggia,polyline,4.9,50.0,sim,776390,20250805,07:40,TERCA-FEIRA,-30.113992509999999,-51.212662999999999,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,6.4,100.0,sim,776424,20250806,18:15,QUARTA-FEIRA,-30.113044750000000,-51.226481000000000,AV CAVALHADA,ESTR JOAO SALOMONI,BOLETIM,0,0,0,1,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,4.0,100.0,sim,776078,20250806,22:50,QUARTA-FEIRA,-30.113088410000000,-51.226539000000002,AV CAVALHADA,,BOLETIM,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,53.0,50.0,nao_contexto,776280,20250807,04:03,QUINTA-FEIRA,-30.105524113746100,-51.223187184963500,R JUVENIL PEREIRA FRAGA,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,0.6,50.0,sim,773329,20250808,07:20,SEXTA-FEIRA,-30.110429109999998,-51.219022000000002,AV VICENTE MONTEGGIA,ESTR JOAO VEDANA,BOLETIM,1,1,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,0.4,50.0,sim,776072,20250810,17:30,DOMINGO,-30.109076999999999,-51.220095000000001,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,1,0,0
P2,Confluencia Cristiano Kraemer x Belem Velho x Monte Cristo,point,100.5,100.0,nao_contexto,775740,20250811,11:20,SEGUNDA-FEIRA,-30.117564150000000,-51.205314999999999,ESTR CRISTIANO KRAEMER,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,65.2,50.0,nao_contexto,776464,20250813,16:35,QUARTA-FEIRA,-30.095571050000000,-51.226318999999997,AV CAVALHADA,,BOLETIM,1,0,0,1,0,0
P3,Acesso Av. Vicente Monteggia via Joao Salomoni/Rodrigues,point,5.0,100.0,sim,775402,20250818,18:10,SEGUNDA-FEIRA,-30.115511395997501,-51.212429255247102,AV RODRIGUES DA FONSECA,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,0.9,50.0,sim,775402,20250818,18:10,SEGUNDA-FEIRA,-30.115511395997501,-51.212429255247102,AV RODRIGUES DA FONSECA,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,7.0,50.0,sim,774179,20250820,19:00,QUARTA-FEIRA,-30.112408299999998,-51.215980000000002,AV VICENTE MONTEGGIA,,BOLETIM,1,1,0,1,0,0
P2,Confluencia Cristiano Kraemer x Belem Velho x Monte Cristo,point,39.2,100.0,sim,775486,20250820,09:05,QUARTA-FEIRA,-30.117431300000000,-51.206738999999999,AV RODRIGUES DA FONSECA,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,21.5,50.0,sim,776833,20250821,08:40,QUINTA-FEIRA,-30.095056039999999,-51.225375000000000,AV NONOAI,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,21.5,50.0,sim,775487,20250821,08:45,QUINTA-FEIRA,-30.095056039999999,-51.225375000000000,AV NONOAI,,BOLETIM,0,0,0,0,0,0
P2,Confluencia Cristiano Kraemer x Belem Velho x Monte Cristo,point,16.8,100.0,sim,775489,20250822,16:30,SEXTA-FEIRA,-30.117503230000001,-51.206522000000000,AV RODRIGUES DA FONSECA,AV BELEM VELHO,BOLETIM,0,0,0,0,0,0
P3,Acesso Av. Vicente Monteggia via Joao Salomoni/Rodrigues,point,95.4,100.0,sim,775365,20250825,14:20,SEGUNDA-FEIRA,-30.115254889999999,-51.213430000000002,ESTR JOAO SALOMONI,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,91.5,50.0,nao_contexto,775365,20250825,14:20,SEGUNDA-FEIRA,-30.115254889999999,-51.213430000000002,ESTR JOAO SALOMONI,,BOLETIM,0,0,0,0,0,0
P8,Estr. Costa Gama x Estr. Afonso Lourenco Mariante,point,123.9,100.0,nao_contexto,774752,20250827,20:20,QUARTA-FEIRA,-30.114090180000002,-51.176803999999997,ESTR COSTA GAMA,,BOLETIM,1,1,0,0,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,85.4,100.0,sim,777181,20250901,13:57,SEGUNDA-FEIRA,-30.112354570000001,-51.226714000000001,AV CAVALHADA,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,7.4,50.0,sim,777362,20250904,11:40,QUINTA-FEIRA,-30.110289280000000,-51.219056000000002,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,15.9,50.0,sim,777655,20250907,21:00,DOMINGO,-30.100917720000002,-51.224913999999998,AV VICENTE MONTEGGIA,AV OTTO NIEMEYER,BOLETIM,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,3.1,50.0,sim,777395,20250909,09:20,TERCA-FEIRA,-30.112521999999998,-51.216600999999997,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,0.6,50.0,sim,778239,20250910,07:15,QUARTA-FEIRA,-30.107095000000001,-51.222160000000002,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,1,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,6.4,100.0,sim,778081,20250912,18:50,SEXTA-FEIRA,-30.113044750000000,-51.226481000000000,AV CAVALHADA,ESTR JOAO SALOMONI,BOLETIM,0,0,0,0,0,0
P1,Rotula Estr. 3 Meninas x Estr. Cristiano Kraemer,point,11.1,100.0,sim,777761,20250912,09:03,SEXTA-FEIRA,-30.118403380000000,-51.203149000000003,ESTR CRISTIANO KRAEMER,,BOLETIM,1,0,0,0,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,6.4,100.0,sim,777899,20250914,22:03,DOMINGO,-30.113044750000000,-51.226481000000000,AV CAVALHADA,ESTR JOAO SALOMONI,BOLETIM,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,6.2,50.0,sim,778265,20250918,19:00,QUINTA-FEIRA,-30.103822990000001,-51.223139000000003,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,2,0,0
P6,Rota Florestan Fernandes / Estrada Kanazawa,polyline,25.4,50.0,sim,778277,20250919,13:50,SEXTA-FEIRA,-30.117423859999999,-51.184896000000002,AV BELEM VELHO,,BOLETIM,3,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,4.4,50.0,sim,777575,20250924,18:00,QUARTA-FEIRA,-30.111350850000001,-51.218294999999998,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,5.3,50.0,sim,778648,20250926,19:25,SEXTA-FEIRA,-30.103694090000001,-51.223154999999998,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,1,0,0
P3,Acesso Av. Vicente Monteggia via Joao Salomoni/Rodrigues,point,0.9,100.0,sim,778824,20250929,09:10,SEGUNDA-FEIRA,-30.115501999999999,-51.212471000000001,AV RODRIGUES DA FONSECA,ESTR JOAO SALOMONI,BOLETIM,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,4.6,50.0,sim,778824,20250929,09:10,SEGUNDA-FEIRA,-30.115501999999999,-51.212471000000001,AV RODRIGUES DA FONSECA,ESTR JOAO SALOMONI,BOLETIM,1,0,0,1,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,101.2,100.0,nao_contexto,777326,20250930,10:00,TERCA-FEIRA,-30.112214099999999,-51.226742000000002,AV CAVALHADA,,BOLETIM,0,0,0,0,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,6.4,100.0,sim,778860,20251001,18:00,QUARTA-FEIRA,-30.113044750000000,-51.226481000000000,ESTR JOAO SALOMONI,AV CAVALHADA,BOLETIM,0,0,0,0,0,0
P9,Entroncamento Rua Santuario x Av. Oscar Pereira,point,113.1,100.0,nao_contexto,779577,20251007,17:15,TERCA-FEIRA,-30.097586320000001,-51.177374999999998,AV PROF OSCAR PEREIRA,,BOLETIM,2,0,0,2,0,0
P4,Corredor Av. Vicente Monteggia,polyline,5.9,50.0,sim,779657,20251009,09:11,QUINTA-FEIRA,-30.109412970000001,-51.219780000000000,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,4.7,50.0,sim,778700,20251011,13:30,SABADO,-30.095149280000001,-51.225779000000003,AV CAVALHADA,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,0.5,50.0,sim,780029,20251012,01:00,DOMINGO,-30.097041510000000,-51.224643999999998,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,6.1,50.0,sim,778683,20251013,11:40,SEGUNDA-FEIRA,-30.100397019999999,-51.224930000000001,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,4.7,50.0,sim,779530,20251014,11:55,TERCA-FEIRA,-30.095149280000001,-51.225779000000003,AV CAVALHADA,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,16.3,50.0,sim,779144,20251016,20:40,QUINTA-FEIRA,-30.107217660000000,-51.221907000000002,AV VICENTE MONTEGGIA,R AMAPA,BOLETIM,0,0,0,0,0,0
P3,Acesso Av. Vicente Monteggia via Joao Salomoni/Rodrigues,point,154.9,100.0,nao_contexto,780063,20251017,10:08,SEXTA-FEIRA,-30.114111630000000,-51.212612999999997,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,5.2,50.0,sim,780063,20251017,10:08,SEXTA-FEIRA,-30.114111630000000,-51.212612999999997,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,4.7,50.0,sim,780353,20251018,08:40,SABADO,-30.095149280000001,-51.225779000000003,AV CAVALHADA,,BOLETIM,2,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,7.1,50.0,sim,794811,20251018,07:20,SABADO,-30.095172999999999,-51.225712999999999,AV NONOAI,R DR CAMPOS VELHO,ATENDIMENTO,2,0,0,0,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,154.6,100.0,nao_contexto,780219,20251019,23:50,DOMINGO,-30.114452000000000,-51.226126999999998,AV CAVALHADA,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,3.1,50.0,sim,777162,20251020,12:48,SEGUNDA-FEIRA,-30.107299999999999,-51.222088999999997,R AMAPA,AV VICENTE MONTEGGIA,BOLETIM,1,1,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,7.0,50.0,sim,780371,20251022,08:50,QUARTA-FEIRA,-30.097930630000000,-51.224950999999997,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,15.9,50.0,sim,780523,20251024,13:49,SEXTA-FEIRA,-30.100917720000002,-51.224913999999998,AV VICENTE MONTEGGIA,AV OTTO NIEMEYER,BOLETIM,0,0,0,0,0,0
P4,Corredor Av. Vicente Monteggia,polyline,63.0,50.0,nao_contexto,777592,20251024,20:30,SEXTA-FEIRA,-30.107330510000001,-51.221102999999999,R AMAPA,,BOLETIM,1,1,0,1,0,0
P4,Corredor Av. Vicente Monteggia,polyline,7.1,50.0,sim,779079,20251026,08:20,DOMINGO,-30.095172949999998,-51.225712999999999,AV CAVALHADA,AV VICENTE MONTEGGIA,BOLETIM,0,0,0,0,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,6.4,100.0,sim,779076,20251027,14:00,SEGUNDA-FEIRA,-30.113044750000000,-51.226481000000000,AV CAVALHADA,ESTR JOAO SALOMONI,BOLETIM,0,0,0,0,0,1
P4,Corredor Av. Vicente Monteggia,polyline,0.6,50.0,sim,790638,20251028,18:30,TERCA-FEIRA,-30.110429109999998,-51.219022000000002,AV VICENTE MONTEGGIA,ESTR JOAO VEDANA,BOLETIM,0,0,0,0,0,0
P5,Joao Salomoni x Av. da Cavalhada,point,85.4,100.0,sim,790571,20251028,12:53,TERCA-FEIRA,-30.112354570000001,-51.226714000000001,AV CAVALHADA,,BOLETIM,0,0,0,0,0,1
