segmento_id,trecho,estacao_m,dist_eixo_p4_m,idacidente,data,hora,dia_sem,latitude,longitude,log1,log2,tipo_acid,feridos,feridos_gr,fatais,moto,bicicleta,onibus
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,7.6,7.1,794811,20251018,07:20,SABADO,-30.095172999999999,-51.225712999999999,AV NONOAI,R DR CAMPOS VELHO,ATENDIMENTO,2,0,0,0,0,0
P4-S05,Rua Amapa -> Estr. Joao Vedana,1476.9,3.1,777162,20251020,12:48,SEGUNDA-FEIRA,-30.107299999999999,-51.222088999999997,R AMAPA,AV VICENTE MONTEGGIA,BOLETIM,1,1,0,0,0,0
P4-S02,Av. Fabio Araujo Santos -> Av. Otto Niemeyer,348.0,7.0,780371,20251022,08:50,QUARTA-FEIRA,-30.097930630000000,-51.224950999999997,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4-S03,Av. Otto Niemeyer -> Estr. Aracaju,695.1,24.1,780523,20251024,13:49,SEXTA-FEIRA,-30.100917720000002,-51.224913999999998,AV VICENTE MONTEGGIA,AV OTTO NIEMEYER,BOLETIM,0,0,0,0,0,0
P4-S01,Av. da Cavalhada / Av. Nonoai / R. Dr. Campos Velho -> Av. Fabio Araujo Santos,7.6,7.1,779079,20251026,08:20,DOMINGO,-30.095172949999998,-51.225712999999999,AV CAVALHADA,AV VICENTE MONTEGGIA,BOLETIM,0,0,0,0,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,1934.0,0.6,790638,20251028,18:30,TERCA-FEIRA,-30.110429109999998,-51.219022000000002,AV VICENTE MONTEGGIA,ESTR JOAO VEDANA,BOLETIM,0,0,0,0,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,2436.2,3.4,790820,20251101,14:00,SABADO,-30.112439999999999,-51.214855000000000,AV VICENTE MONTEGGIA,,BOLETIM,1,0,0,1,0,0
P4-S05,Rua Amapa -> Estr. Joao Vedana,1481.3,16.3,791118,20251107,07:40,SEXTA-FEIRA,-30.107217660000000,-51.221907000000002,AV VICENTE MONTEGGIA,R AMAPA,BOLETIM,3,0,0,0,0,0
P4-S06,Estr. Joao Vedana -> Estr. Joao Passuelo,2626.6,6.2,791309,20251110,19:00,SEGUNDA-FEIRA,-30.113199999999999,-51.213110000000000,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,0,0,0
P4-S02,Av. Fabio Araujo Santos -> Av. Otto Niemeyer,645.7,6.1,790674,20251112,15:05,QUARTA-FEIRA,-30.100397019999999,-51.224930000000001,AV VICENTE MONTEGGIA,,BOLETIM,0,0,0,1,0,0
